zip_code,0br_2020,0br_2021,0br_2022,0br_2023
90001,1050,1160,1240,1250
90002,1050,1160,1240,1250
90003,1070,1160,1240,1250
90004,1330,1400,1410,1560
90005,1390,1500,1520,1660
90006,1140,1200,1240,1330
90007,1170,1240,1240,1290
90008,1110,1180,1240,1310
90010,1700,1800,1820,2040
90011,1050,1160,1240,1250
90012,1160,1280,1370,1570
90013,1520,1610,1630,1770
90014,1830,2030,2080,2260
90015,1180,1310,1350,2130
90016,1180,1250,1250,1390
90017,1320,1450,1400,1460
90018,1130,1200,1240,1320
90019,1290,1370,1400,1550
90020,1480,1560,1560,1670
90021,1280,1600,1790,1930
90022,1080,1160,1240,1250
90023,1050,1160,1240,1250
90024,1920,2050,2080,2300
90025,1900,2050,2080,2300
90026,1230,1320,1350,1480
90027,1490,1600,1620,1770
90028,1540,1670,1700,1810
90029,1210,1280,1310,1470
90031,1060,1160,1240,1250
90032,1100,1160,1240,1260
90033,1050,1160,1240,1250
90034,1580,1690,1700,1860
90035,1750,1850,1850,2020
90036,1920,2050,2080,2300
90037,1110,1180,1240,1250
90038,1370,1460,1480,1660
90039,1450,1580,1620,1750
90040,1050,1160,1240,1250
90041,1330,1410,1420,1550
90042,1260,1340,1350,1500
90043,1120,1180,1240,1290
90044,1060,1160,1240,1250
90045,1690,1820,1840,2040
90046,1670,1770,1780,1950
90047,1150,1220,1240,1330
90048,1920,2050,2080,2300
90049,1920,2050,2080,2300
90056,1500,1620,1670,1860
90057,1190,1260,1270,1420
90058,1050,1160,1240,1250
90059,1050,1160,1240,1250
90061,1110,1160,1240,1250
90062,1110,1180,1240,1290
90063,1050,1160,1240,1250
90064,1920,2050,2080,2220
90065,1150,1240,1280,1420
90066,1630,1740,1760,1930
90067,1920,2050,2080,2300
90068,1690,1840,1900,2090
90069,1920,2050,2080,2260
90077,1920,2050,2080,2300
90094,1920,2050,2080,2300
90201,1110,1170,1240,1300
90210,1920,2050,2080,2300
90211,1740,1860,1840,2060
90212,1920,2050,2080,2290
90220,1080,1160,1240,1250
90221,1070,1160,1240,1250
90222,1140,1230,1240,1340
90230,1650,1740,1770,1980
90232,1700,1820,1840,2050
90240,1400,1480,1470,1620
90241,1280,1360,1370,1510
90242,1300,1380,1390,1540
90245,1670,1770,1790,2010
90247,1180,1250,1260,1380
90248,1170,1220,1240,1280
90249,1120,1200,1240,1300
90250,1200,1260,1270,1390
90254,1920,2050,2080,2300
90255,1090,1160,1240,1260
90260,1310,1380,1380,1530
90262,1090,1160,1240,1280
90265,1920,2050,2080,2300
90266,1920,2050,2080,2300
90270,1090,1160,1240,1250
90272,1920,2050,2080,2300
90274,1920,2050,2080,2300
90275,1920,2050,2080,2300
90277,1820,1920,1920,2100
90278,1610,1720,1770,1940
90280,1110,1180,1240,1290
90291,1920,2050,2080,2300
90292,1920,2050,2080,2300
90293,1850,1990,2070,2290
90301,1190,1270,1290,1420
90302,1250,1340,1370,1520
90303,1140,1230,1260,1400
90304,1100,1160,1240,1260
90305,1280,1390,1440,1620
90401,1790,1920,1960,2210
90402,1850,1940,1880,2020
90403,1870,2050,2080,2260
90404,1420,1470,1470,1620
90405,1640,1690,1690,1820
90501,1310,1390,1410,1540
90502,1360,1460,1430,1550
90503,1620,1720,1730,1880
90504,1370,1440,1440,1570
90505,1620,1700,1680,1820
90601,1330,1370,1360,1480
90602,1240,1300,1310,1420
90603,1700,1810,1770,1930
90604,1300,1400,1420,1550
90605,1260,1400,1410,1550
90606,1310,1400,1430,1550
90631,1360,1440,1520,1660
90638,1640,1700,1670,1790
90640,1180,1250,1260,1390
90650,1310,1370,1370,1500
90670,1310,1400,1390,1530
90701,1390,1490,1520,1710
90703,1920,2050,2080,2300
90706,1250,1330,1340,1450
90710,1110,1190,1240,1300
90712,1570,1740,1820,2040
90713,1840,1920,1890,2050
90715,1400,1540,1560,1710
90716,1240,1320,1340,1480
90723,1220,1310,1320,1440
90731,1230,1320,1350,1490
90732,1810,1960,1980,2170
90740,1710,1830,1870,2090
90744,1110,1160,1240,1250
90745,1280,1360,1380,1550
90746,1600,1700,1710,1880
90802,1350,1420,1460,1630
90803,1690,1820,1840,2030
90804,1200,1280,1310,1440
90805,1130,1200,1240,1330
90806,1140,1220,1240,1330
90807,1370,1450,1460,1610
90808,1540,1690,1720,1930
90810,1110,1170,1240,1250
90813,1090,1160,1240,1280
90814,1350,1460,1490,1660
90815,1550,1670,1690,1860
91006,1590,1700,1690,1780
91007,1380,1450,1460,1620
91008,1300,1480,1470,1620
91010,1440,1510,1500,1650
91011,1920,2050,2080,2300
91016,1350,1420,1430,1570
91020,1380,1500,1540,1720
91030,1500,1620,1670,1840
91040,1340,1440,1450,1480
91042,1240,1340,1360,1470
91101,1650,1800,1850,2060
91103,1240,1320,1300,1410
91104,1330,1420,1470,1640
91105,1920,2050,2080,2300
91106,1560,1670,1670,1820
91107,1460,1600,1630,1780
91108,1430,1550,1580,1730
91201,1460,1560,1600,1730
91202,1500,1610,1630,1790
91203,1430,1540,1590,1740
91204,1450,1560,1590,1730
91205,1390,1500,1540,1700
91206,1460,1600,1650,1820
91207,1480,1600,1600,1790
91208,1600,1760,1810,1950
91210,1920,2050,2080,2300
91214,1670,1770,1790,1980
91301,1920,2050,2080,2300
91302,1920,2050,2080,2300
91303,1370,1460,1480,1640
91304,1350,1440,1460,1600
91306,1240,1340,1370,1490
91307,1910,2040,2100,2320
91311,1630,1730,1750,1870
91316,1610,1690,1690,1860
91321,1370,1450,1470,1620
91324,1460,1550,1560,1710
91325,1410,1500,1520,1670
91326,1820,1910,1860,2040
91331,1240,1310,1300,1380
91335,1370,1480,1510,1640
91340,1240,1320,1330,1440
91342,1280,1370,1380,1500
91343,1210,1300,1310,1440
91344,1660,1740,1720,1880
91345,1460,1630,1650,1770
91350,1730,1860,1840,2060
91351,1520,1620,1630,1770
91352,1220,1320,1330,1440
91354,1920,2050,2080,2300
91355,1770,1900,1940,2120
91356,1480,1620,1630,1650
91361,1710,1780,1990,2220
91362,1530,1540,1800,2080
91364,1920,2050,2080,2300
91367,1920,2050,2080,2300
91387,1540,1630,1650,1810
91390,1760,1990,2080,2280
91401,1330,1400,1420,1570
91402,1260,1350,1350,1470
91403,1680,1800,1860,2080
91405,1280,1360,1370,1530
91406,1290,1380,1390,1560
91411,1380,1480,1500,1660
91423,1670,1770,1790,1950
91436,1920,2050,2080,2300
91501,1540,1640,1640,1790
91502,1600,1580,1490,1500
91504,1530,1680,1710,1900
91505,1700,1820,1860,2070
91506,1370,1480,1520,1640
91601,1410,1530,1580,1780
91602,1640,1740,1770,1990
91604,1770,1870,1910,2110
91605,1190,1300,1350,1490
91606,1240,1320,1340,1470
91607,1430,1540,1570,1730
91702,1260,1330,1350,1480
91706,1200,1290,1300,1410
91711,1450,1570,1570,1730
91722,1360,1430,1460,1620
91723,1260,1300,1330,1460
91724,1460,1600,1650,1780
91731,1090,1160,1240,1300
91732,1140,1210,1240,1340
91733,1110,1170,1240,1300
91740,1370,1450,1490,1670
91741,1620,1700,1710,1860
91744,1160,1250,1270,1390
91745,1370,1460,1460,1600
91746,1320,1380,1350,1460
91748,1260,1330,1340,1460
91750,1290,1370,1370,1490
91754,1200,1250,1250,1350
91755,1240,1310,1290,1410
91765,1850,1960,1940,2080
91766,1090,1160,1240,1330
91767,1140,1210,1240,1320
91768,1090,1160,1240,1320
91770,1140,1230,1250,1370
91773,1620,1720,1720,1880
91775,1330,1470,1500,1680
91776,1270,1340,1350,1480
91780,1240,1380,1430,1640
91789,1920,2050,2080,2300
91790,1390,1470,1520,1710
91791,1370,1480,1490,1630
91792,1420,1520,1550,1710
91801,1280,1350,1370,1500
91803,1230,1310,1320,1420
93510,1690,1730,1560,1520
93534,1050,1160,1240,1250
93535,1050,1160,1240,1250
93536,1050,1160,1240,1250
93543,1310,1350,1290,1350
93550,1050,1160,1240,1250
93551,1600,1680,1670,1780
93552,1480,1580,1590,1700
93591,1100,1160,1240,1280